title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Data Analyst,Raya Holding for Financial Investments,"You are about to apply for a job in a certified Top Employer 2023!Ready to be part of one of the Market Leaders in Egypt? Apply Now!Raya Food Trading; a subsidiary of Raya is hiring a Data Analyst What will you do?Finish our data gathering project for customers of our current and new database including all needed dataPerform the needed analysis for our business including customer, financial and business performanceProduce the needed reports and dashboardsFacilitate decision making process for top management through data provided on regular basis and upon requestWhat will you need?Experience from 1 to 3 years' experiencePreferred previous experience in Retail or FMCGWhat is unique about Raya?Are you an eager learner? Raya believes in its employees, so we aim to continuously provide learning & development plans for all of our employees to ensure their personal and career development.Are you looking for career progression? Raya is an entity where you can grow whether horizontally or vertically as we offer internal transfer opportunities.Are you looking for a rewarding environment? Raya's top achievers are awarded annually with an international 5 days trip.Are you looking for an opportunity to give back to the community? Raya encourages their employees to give back to the community through different ongoing CSR programs and initiatives.Are you a foodie? Exclusive discounts for Raya employees at Raya’s Restaurants (Ovio, Jones The Grocer, The Lebanese Bakery, and Loris).",onsite,NaN,"6th of October, Al Jizah, Egypt","[{'مستوى الأقدمية': 'مستوى المبتدئين'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'مالية'}, {'المجالات': 'إدارة الاستثمارات'}]",2023-04-18,https://eg.linkedin.com/jobs/view/data-analyst-at-raya-holding-for-financial-investments-3570081512?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=MstfsCqvwJeSPEV93fhWFw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst at Flutterwave,Flutterwave,Nan,onsite,NaN,"Lagos, Lagos State, Nigeria",[],2023-04-18,https://ng.linkedin.com/jobs/view/data-analyst-at-flutterwave-at-flutterwave-3569971690?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=%2BncIyK3lY5ZObRZquhlNag%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Graduate Data Analyst,Gary Myatt Ltd,Nan,onsite,NaN,"South West Ethiopia Peoples, Ethiopia",[],2023-03-17,https://et.linkedin.com/jobs/view/graduate-data-analyst-at-gary-myatt-ltd-3529179835?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=%2FUGFMmVlx7FJpD9NRRWIyA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Halan - حالا,Nan,onsite,NaN,"Cairo, Cairo, Egypt",[],2023-03-05,https://eg.linkedin.com/jobs/view/data-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3513824643?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=TOVlbZKaApbgepveh%2FGafQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst at TradeDepot,TradeDepot,Nan,onsite,NaN,"Lagos, Lagos State, Nigeria",[],2023-03-24,https://ng.linkedin.com/jobs/view/data-analyst-at-tradedepot-at-tradedepot-3567982818?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=zvmJYVjp%2B7nojGTjBYgWsw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,RPO Recruitment,Nan,onsite,NaN,"Johannesburg, Gauteng, South Africa",[],2023-02-03,https://za.linkedin.com/jobs/view/data-analyst-at-rpo-recruitment-3503932450?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=mUey3ie0Zm6%2FLA3sU5zYMA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst (JHB),Datafin Recruitment,Nan,onsite,NaN,"Johannesburg, Gauteng, South Africa",[],2023-04-18,https://za.linkedin.com/jobs/view/data-analyst-jhb-at-datafin-recruitment-3568522147?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=Hza70OPMwU00af0bDHlDqw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
DATA ANALYST,Societe Generale,"Intégré à la Direction Marketing . La Data Analyt aura pour mission principale :• Analyser les données de la banque (clients et prospects) afin de déterminer les opportunités de développement et d'optimisation pour accompagner des objectifs de croissance.• Collecter, nettoyer et analyser les données clients de la banque• Identifier les tendances et les opportunités à partir des données analysées et superviser les tendances du marché et les opportunités de développement• Développer des modèles de prévision pour les indicateurs clés de performance de la banque• Travailler en étroite collaboration avec les équipes de marketing produit et technique pour améliorer et faire évoluer l'approche data marketingProfil recherché :Connaissance approfondie des techniques d'analyse de données, y compris la modélisation statistique, la segmentation de données, etc.Expérience en utilisation de logiciels d'analyse de données, tels que R, Python, SAP, Power BI etc.Fortes compétences en communication et en collaboration avec les différentes équipes marketingConnaissance des outils de marketing digital, tels que Google Analytics, Google AdWords, etc.Diplôme : Diplômé(e), Bac+5 universitaire ou d’une grande école d'ingénieurs dans le domaine des études mathématiques ou statistiques avec 5/6 ans d'expérience .",onsite,NaN,"Prefecture of Casablanca, Casablanca-Settat, Morocco","[{'مستوى الأقدمية': 'مساعد'}, {'نوع التوظيف': 'دوام كامل'}, {'المهام الوظيفية': 'التسويق و تكنولوجيا المعلومات'}, {'المجالات': 'الأعمال المصرفية'}]",2023-04-12,https://ma.linkedin.com/jobs/view/data-analyst-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-3562629642?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=WjASG7zydezLhqc5FePlxQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst At IITA (Tamale),IITA LIMITED,Nan,onsite,NaN,Ghana,[],2023-01-13,https://gh.linkedin.com/jobs/view/data-analyst-at-iita-tamale-at-iita-limited-3467065084?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=tcxO3hCCezPF97ANH32eQw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,RPO Recruitment,Nan,onsite,NaN,"Cape Town, Western Cape, South Africa",[],2023-02-03,https://za.linkedin.com/jobs/view/data-analyst-at-rpo-recruitment-3503932451?refId=Y8ejgvOSFCEHueq1sYhmVw%3D%3D&trackingId=JQGfYAKVlQcJzTMhVXMfpw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
