title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Computer Vision Engineer,TalentLab,"Computer Vision Engineer - AutomotiveHybrid-Remote - TorontoOur globally recognized client is building a comprehensive set of cloud-connected automotive platforms for telematics and connectivity, computing, and driver assistance and autonomy. We're assisting in the search for experienced computer vision engineers with deep embedded C++ experience to join their groundbreaking team to develop a new suite of Autonomous Driving and ADAS products for a worldwide customer base.Responsibilities In This Role Shall Include The FollowingDesign and implement APIs and sample code as SDK on PC, Linux, and Automotive embedded platform.Implement and optimize computer vision use cases with the SDK for Autonomous driving and ADAS.Document the APIs and use cases as reference for the customers.Closely collaborate with feature owners and domain/technology experts to define/validate APIs across software and hardware SoC platforms.Optimize algorithm implementation for run-time performance on PC/Linux platforms.Optimize algorithm implementation on SIMD processors such as ARM NEON and Hexagon DSP on Snapdragon platform.Debug in different software environments. Interact closely with internal teams and external customers.Must Have SkillsStrong C++ programming skills.Development/Debugging on embedded system.Preferred Qualifications5+ years software or computer vision algorithm development experience e.g. object detection, tracking, feature detection, 6DOF, SLAM, 3D reconstruction.Excellent C++ and Object-Oriented Programming skills demonstrated through relevant industry experience.Digital Signal Processing (DSP) and real time systems coding experience.Strong skills in analyzing performance of AI/CV solutions on heterogenous architectures (core, cache, memory, bus, etc.).Strong background of computer vision algorithms and mathematical linear algebra, geometry, graph algorithms. Strong analytical skills, mathematical knowledge of image processing and computer vision algorithms and performance optimization on various SIMD and DSP architecturesExpert in DSP assembly/intrinsic and C/C++ programming in image/video/computer vision domains3+ years of hands on experience on DSP algorithms development and optimization.Experience with C++11/C++14Experience with version control software such as Git.Experience with CI/CD process.Experience with computer vision toolkits such as OpenCV, Dlib etc.Expert in Code Optimization and high performance compute on x86, ARM and DSP environments.Experience with GP-GPU programming such as OpenCL.Optimization in intrinsic or assembly instructionsMulti-threading programming experienceTesting and debugging on embedded systemsExperience with software process improvements through measurable KPIsCandidates with knowledge and experience in the following areas are preferred:Familiar with Operating System programming such as QNX, Linux, windows.Python experienceMachine Learning, Neural Networks How to Apply?You can apply directly to gord.marriage@talentlab.com or on our website at www.talentlab.com. We want to thank all applicants for their interest, but only those in consideration will be contacted.",onsite,NaN,"Markham, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-02-06,https://ca.linkedin.com/jobs/view/computer-vision-engineer-at-talentlab-3506264526?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=Ofn4%2F3mHCLtYEA2CpKqsGQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,NTENT,"Position: Full timeLocation: Toronto, Ontario (Initially Remote)About UsNTENT provides a Platform-as-a-Service (PaaS), allowing industry partners to customize, localize and integrate search technologies directly into their business-to-consumer offerings. We are a unique group of brilliant minds intent on discovering, learning and building. We work in a vibrant atmosphere, with an emphasis on personal and professional development. This is an opportunity to tackle complex problems usually reserved for a handful of large companies in the search industry.About The OpportunityWe are looking for a talented Machine Learning Engineer to join our team and deliver machine learning-driven products. The right candidate will work on development, deployment, and lifecycle management of machine learning models for various large-scale applications (natural language understanding, web search and ranking, recommendation, personalization, dialog/conversation management).KeywordsMachine learning, natural language processing, learning-to-rank, online learning, deep learning, interactive machine learning, machine teaching, conversational agents, human computer interactionDuties And ResponsibilitiesDesign, implement, and deploy machine learning algorithms.Manage machine learning algorithm lifecycle.Coordinate data collection and annotation efforts.Work with real-time data and content coming from various data sources.Manage machine learning data pipelines. Design tests for machine learning algorithm effectiveness and performance monitoring.Design tools and interfaces for interactive machine learning and teaching.Research and development on cutting-edge machine learning technologies.Qualifications And SkillsGraduate degree in Computer Science with a strong background in machine learning required.Strong problem-solving abilities, solid background in algorithms and data structures required.Strong programming skills in Python and Scala required. Experience in other programming languages (eg. Java, R, Haskell) a plus.Solid knowledge of machine learning tools (eg. scikit-learn, tensorflow, keras, pytorch, Spark MLlib) required.Experience with distributed and streaming data technologies (eg. Hadoop, Spark, Kafka) required.Experience with building and deploying API's with Docker and Kubernetes required.Experience with natural processing tasks (eg. named entity recognition, language modeling, vector representations) required.Experience with Elastic Search, Lucene a plus but not required.Experience with ranking algorithms a plus but not required.Experience with interactive machine learning (eg. active learning, reinforcement learning, machine teaching) a plus but not required.The ideal candidate will be self-motivated, possess excellent communication skills (both oral and written) and be able to work independently. A keen interest in various aspects of natural language processing is essential in our multi-disciplinary team.We offer a full comprehensive benefits package including medical, dental and vision. Employees receive a generous time off (PTO) plan and 13 holidays per year. We also offer 401(k) benefits, long term disability benefits and life.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-03,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-ntent-3500412274?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=GtlmpBhxCawcXrHOCN0CnQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559055003?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=cgMbjI3fStbSnZ2dlCXIbA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559049840?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=hCRrvCTEhP3jtIx2Ap2%2BdQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,MobSquad,"About MobsquadWe are a well-funded, hyper-growth, scale-up looking for an experienced Machine Learning Engineer. If you've ever dreamed of working with a top tier technology company scale-up, on leading edge technologies, backed by the very best venture capitalists in the world, then this is your chance.Some details about MobSquad:MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling its clients to quickly have a turnkey ""virtual"" Canadian subsidiary. MobSquad ensures technology professionals with US work visa challenges remain working with their current company, but nearshore from Canada. This is accomplished via MobSquad's unique partnership with the Canadian Government, enabling work visas to be issued for technology professionals and their respective families within four to six weeks, and Canadian permanent residency within six to eight months. Additionally, MobSquad has unfettered access to top-tier global technology talent which it relocates to Canada and pairs with American as well as Canadian clients on an exclusive, long-term basis, helping firms not only retain their existing world-class technology talent base, but grow it substantially. We're a Certified B corporation, and have made numerous contributions to charitable organizations, as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition. For our workplace culture, we were recognized as the 3rd best place to work in Canada (for a small company) in 2020, as well as recognized specifically for being one of the best workplaces nationally for: inclusion; mental wellness; giving back; youth; and technology. We were also recognized as one of the best start-ups to work for across Canada. For our innovative business model, we have been featured in numerous media outlets including: Asian Pacific Post; BetaKit; Bloomberg; CBC; Global News; Gothamist; International Business Times; MIT Technology Review; Nearshore Americas; Nikkei Asian Review; NPR; The Economic Times of India; The Financial Times; The Globe and Mail; The Information; The New York Times; and The Washington Post. Harvard Business School published a case study on MobSquad last fall, and Harvard Business Review featured us multiple times in an article that appeared on the cover of their November/December 2020 edition. You can learn more about us on our website. About The RoleAs a Machine Learning Engineer, you will be part of a Canada-based team working remotely with a leading US scale-up. Your team will operate alongside many other talented developers and data scientists in Canada, and you will be an integral part of the tech community that MobSquad has built.This role requires someone who has demonstrated an ability to use data to train models which can be used to automate processes such as image classification, speech recognition, and forecasting. The ideal candidate has deployed or attempted to execute Artificial Intelligence theories from various Machine Learning (ML) models and algorithms, and they also have familiarity with data science engineering. The candidate should be able to apply their analytical skills to develop large-scale ML models that reveal the value in data. They are able to understand business objectives from a broader team and build customized models and processes to enable delivery of the business objectives.About YouYou have an advanced degree (M.S. or PhD) in Computer Science, Engineering, Mathematics, Physics, or a comparable analytical field from an accredited institutionYou have over five years of experience working with deep learning frameworks (TensorFlow, Keras)You have over five years of experience with relevant languages (Python, Java) and libraries (scikit-learn, Pandas)You have over five years of experience developing unique algorithmsYou have strong experience creating and deploying machine learning modelsYou have demonstrated knowledge of relevant libraries and operating systems (OpenCV, Linux)You have knowledge of SQL (MySQL, PostgreSQL) and NoSQL (MongoDB, Cassandra, HBase) databases You have strong attention to detail, translating to strength in data quality verification to enable clean data at all timesYou have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to build models and algorithms that reveal the patterns and relationships in data that can be leveraged to provide business valueWHAT YOU'LL GET @MOBSQUADA full-time position that offers competitive compensationA benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings)A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transitFor international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four yearsAt MobSquad, we support and encourage building a work environment that is diverse, inclusive, and safe for all. We invite and welcome applicants of all backgrounds, regardless of race, religion, sexual orientation, gender identity, national origin, or disability.",onsite,NaN,"Vancouver, British Columbia, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-22,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-mobsquad-3534854448?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=vPQHTBSwYjNeIyZwFBigOg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer/Developer,Experfy,"Opportunity DescriptionOur client looking for a Software Engineer/Developer to join our digital data team for designing and implementing enterprise data and analytics/insights applications. Will be responsible for the quality of deliveries (compliance with requirements), privacy, security and quality by design and provide all associated documentation for reference and reporting. Will troubleshoot coding problems quickly and efficiently. Will be involved in directing system testing and validation procedures before formal launch. Will troubleshoot coding problems quickly and efficiently.ToolsProgramming languages: Python (expert)DevOps: Gitlab, Docker, CI/CD, Terraform, UNIX based command lineGood knowledge of cloud computing, knowing AWS is a plusData: SQLProject management & support: JIRA projects & service desk, Confluence, TeamsSkillsExposure to analytics applications or experience building analytics tools in pythonAnalytic reasoning, and complex problem solving involving mathematical programming and big data problemsProficiency with infrastructure as code principlesFamiliarity with data science methods and scaling data science methodsFamiliarity with storage, data manipulation and management of relational, non-relational and streaming data structuresUnderstanding of parallel computingSoft SkillsPragmatic and capable of solving complex issuesAbility to understand business needsGood communicationPush innovative solutionsService-oriented, flexible & team playerSelf-motivated, take initiativeAttention to detail & technical intuitionExperience5-7 years of experience in a software development environmentExperience in a healthcare company is a plusPreferred QualificationsMaster’s Degree in Computer Research Science, Statistics, Operations Research, or related fieldRequirementsResponsibilitiesUnderstand business issues and translate these into technical needsApply software development practices and standards to develop robust and maintainable softwareDevelop abstract analytic models to solve complex problems for decision analysisMaintain an active role in every part of the software development life cycleGuide non-technical teams in understanding analytics at scale, infrastructure as code and best practices for robust software developmentOptimize and enhance computational efficiency of algorithms and software designPartner with Data Engineers, Data Scientists, and Data Scientists to scale prototypes models to robust modelsWork closely with IT operations team (ITS) to ensure that the POC will be eligible for industrializationInteract directly with business teams on new features for future product releasesShare software design and solutions ideasDevelop software verification plans and quality assurance proceduresDocument and maintain software functionalityActively contribute to Data platform communityDeploying software tools, processes, and metrics in client run environment",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-02,https://ca.linkedin.com/jobs/view/software-engineer-developer-at-experfy-3545266238?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=JY7a%2FMQZa8oKL0APAZr7hw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer,Experfy,"Job Highlights: Work in close collaboration with relevant stakeholders to contextualize the architecture design Work with development teams and product managers to ideate and develop software solutions Design end-to-end solutions to meet business needs in an operational and ﬁnancially efficient manner Promote the right usage of company standards, IT industry practices, and emerging standards Leverage the existing portfolio of digital products, catalogue of services, and promotes the usage of existing building blocks Design and produce design documents and solution roadmaps showing the transition states Verify the consideration of nonfunctional requirements as part of the product backlog Orchestrate the delivery of interconnected technology components through the solution life cycle Contribute to standards life cycle maintenanceRequirementsKey Functional Requirements & Qualifications: Degree in Computer Science, Statistics, or relevant field Familiarity with Service-oriented architecture and APIs, experience designing/developing RESTful APIs a plus Strong experience in Coding (Python, Spark, REST, Golang, Javascript, Java, NodeJS, Angular) Software best practices (design patterns, dev standards) Experience using Cloud Containerization technologies (Docker, Kubernetes, AWS ECR/EKS) Familiarity with AWS data and object stores (e.g. Snowflake, AWS DocumentDB, S3) Working knowledge of Databricks Familiarity with Github, SonarQube, Checkmarx, Artifactory, AWS Cloudwatch, Authorization (OAuth, Keycloak, AuthN/AuthZ), & Terraform Experience with JIRA & Confluence a plus Deep AI/ML knowledge",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-02,https://ca.linkedin.com/jobs/view/software-engineer-at-experfy-3545264219?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=%2Fz1fIfA4eOvX68LACXHSQQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Embedded Software Engineer (Junior/Intermediate/Senior),Evertz,"Entry & Intermediate level opportunities available.As a member of the R&D team, you will be challenged with designing and testing the latest broadcast equipment incorporating the most advanced technology.Requirements:C, C++ programming and debugging skillsReal-Time Operating Systems, Embedded Linux, FreeRTOS and Device Driver experience essentialStructured, object oriented design and programming techniquesData structures, device design and embedded real-time applicationsData Communication Network and associated Layer 2 and 3 protocolsKnowledge of digital hardware (SoC, x86, ARM microprocessor and its peripherals, FPGA, DSP etc.)Familiar with CI/CD pipelines (such as Jenkins)Additional Skills and experience that will be useful:Knowledge of video standards H.264, MPEG2, HEVC, JPEG-XS, ST2110 and their applicationsKnowledge of Cloud Computing (AWS etc.)Experience of using Angular, JavaScript and PHP etc. will be an assetQualifications:A degree in Electrical/Computer/Mechatronics Engineering or Computer ScienceA minimum of 1 year of experienceExcellent verbal and written communication and proven interpersonal skillsBe result oriented, self-motivated and a team playerWhat we offer:Employer funded benefits programCompetitive total compensation packageWork-life balanceEmployee Assistance planEmployee Discount PlatformCareer progressionCasual work environmentSocial events and sports teamsAbout Us:Evertz Microsystems (TSX:ET) is a leading global manufacturer of broadcast equipment and solutions that deliver content to television sets, on-demand services, WebTV, IPTV, and mobile devices (like phones and tablets). Evertz has expertise in delivering complete end-to-end broadcast solutions for all aspects of broadcast production including content creation, content distribution and content delivery.Considered as an innovator by their customers, Evertz delivers cutting edge solutions that are unmatched in the industry in both hardware and software. Evertz delivers products and solutions that can be found in major broadcast facilities on every continent. Evertz’ customer base also includes telcos, satellite, cable TV, and IPTV providers.With over 1700 employees, that include hardware and software engineers, Evertz is one of the leaders in the broadcast industry. Evertz has a global presence with offices located in: Canada, United States, United Kingdom, Germany, United Arab Emirates, India, Hong Kong, China, Singapore, and Australia. Evertz was named one of Canada’s 50 Best Managed Companies, which recognizes excellence in Canadian-owned and Canadian-managed companies. Canada’s 50 Best Managed Companies identifies Canadian corporate success through companies focused on their core vision, creating stakeholder value and excelling in the global economy.Evertz makes certain there is an equal employment opportunity for all employees and applicants for employment, including persons with disabilities. In compliance with AODA, Evertz will strive to provide accommodation to persons with disabilities in the recruitment process upon request. If you are selected for an interview and you require accommodation due to a disability during the recruitment process, please notify Human Resources upon scheduling your interview.Thank you for considering a career with Evertz!When you apply to a job on this site, the personal data contained in your application will be collected by Evertz Microsystems Ltd (“Controller”), which is located at 5292 John Lucas Drive, Burlington, Ontario, Canada and can be contacted by emailing privacy@evertz.com. Controller’s data protection officer is Nadiera Toolsieram, who can be contacted at privacy@evertz.com. Your personal data will be processed for the purposes of managing Controller’s and its' subsidiaries' and affiliates' recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.A complete privacy policy can be found at https://evertz.com/contact/privacy/Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.Powered by JazzHR4KcfAWRhXJ",onsite,NaN,"Burlington, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-01-26,https://ca.linkedin.com/jobs/view/embedded-software-engineer-junior-intermediate-senior-at-evertz-3491145774?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=fv9zhIuecbOOG3FW6kZswQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Machine Learning Engineer,owl.co,"We are not working with recruitment agencies at this time*Owl.co enables insurers to fight illegitimate claims at scale while removing human bias from the process. Our clients are the top insurance companies across North America and are getting incredible results through our AI-powered evidence-based platform. We are on a mission to bring state-of-the-art ML and NLP methods to transform this traditionally manual activity into an equitable process. We are well-funded and have engineering offices in New York City, Toronto, and Vancouver.About the Role:We are looking for an ambitious and motivated Machine Learning Engineer to build the core intelligence behind products. You will be working across different functions – leading the design, implementation, and production of some of the most impactful systems in the insurance industry.What You’ll Be Doing:Collaborate directly with the CTO and the rest of the engineering team to build ML-powered systems and productsCollaborate with internal stakeholders to conduct impactful data analysis to meet customer needsBuild models to classify and rank and annotate documents to power the core fulfillment engineDevise experiments to improve internal processes, data collection, and ML modelsWork cross-functionally to solve challenging product problemsLead technical discussions and help drive technical decisions within the teamDevelop clear, well-documented, and maintainable code across the entire stackMentor junior engineers and contribute to growth of the engineering teamAnalyze user behavior from our platform to discover new features, trends, and insights aimed at improving our productsContribute to the development and direction of our analytics practicesIdeal experience:5+ years of ML experience with a strong track record of applied project work in the industryAdvance Degree or equivalent Extensive experience with PythonExpertise in reporting, dashboard development, and data managementSkilled in common data science tools and query languages such as pandas, NumPy, seaborn, sklearn, and SQLStrong interpersonal and written skills Expertise in A/B testing, statistical analysis, and the theory/practice of working with applied MLFamiliarity with AWS data services (Glue, Athena, QuickSight, etc.)Benefits$1,200 ($100 monthly) per year into a Wellness or Healthcare Spending AccountRRSP matching up to 4% of base salary4 weeks of vacation, 10 public holidays, plus 5 personal daysHybrid work modelDog-friendly officeWeekly team lunches in the office",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-13,https://ca.linkedin.com/jobs/view/senior-machine-learning-engineer-at-owl-co-3520478094?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=tLe4MtrjDh0VfwsOQPgcbA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Design Engineer (Markham),Evertz,"We are looking for the best people for multiple openings in our video router team. As a member of the team, you will be challenged with designing and enhancing the latest broadcast video equipment incorporating the most advanced technology.Requirements:Strong C, C++ programming skillsBackground in embedded systemsStructured, object oriented design and programming techniquesGeneral understanding of Linux programmingExperience or interest in one or more of the following: Linux device drivers, Ethernet networking, x86 architecture, PCI Express, USBQualifications:Bachelors Degree or Diploma in computer science or equivalentA minimum of 2 years experience in software developmentBe results oriented, self-motivated, and a team playerStrong analytical, research, and problem-solving skillsExcellent academic backgroundWhat we offer:Employer funded benefits programCompetitive total compensation packageWork-life balanceEmployee Assistance planEmployee Discount PlatformCareer progressionCasual work environmentSocial events and sports teamsAbout Evertz:Evertz Microsystems (TSX:ET) is a leading global manufacturer of broadcast equipment and solutions that deliver content to television sets, on-demand services, WebTV, IPTV, and mobile devices (like phones and tablets). Evertz has expertise in delivering complete end-to-end broadcast solutions for all aspects of broadcast production including content creation, content distribution and content delivery.Considered as an innovator by their customers, Evertz delivers cutting edge solutions that are unmatched in the industry in both hardware and software. Evertz delivers products and solutions that can be found in major broadcast facilities on every continent. Evertz’ customer base also includes telcos, satellite, cable TV, and IPTV providers.With over 1700 employees, that include hardware and software engineers, Evertz is one of the leaders in the broadcast industry. Evertz has a global presence with offices located in: Canada, United States, United Kingdom, Germany, United Arab Emirates, India, Hong Kong, China, Singapore, and Australia. Evertz was named one of Canada’s 50 Best Managed Companies, which recognizes excellence in Canadian-owned and Canadian-managed companies. Canada’s 50 Best Managed Companies identifies Canadian corporate success through companies focused on their core vision, creating stakeholder value and excelling in the global economy.Evertz makes certain there is an equal employment opportunity for all employees and applicants for employment, including persons with disabilities. In compliance with AODA, Evertz will strive to provide accommodation to persons with disabilities in the recruitment process upon request. If you are selected for an interview and you require accommodation due to a disability during the recruitment process, please notify Human Resources upon scheduling your interview.Thank you for considering a career with Evertz!When you apply to a job on this site, the personal data contained in your application will be collected by Evertz Microsystems Ltd (“Controller”), which is located at 5292 John Lucas Drive, Burlington, Ontario, Canada and can be contacted by emailing privacy@evertz.com. Controller’s data protection officer is Nadiera Toolsieram, who can be contacted at privacy@evertz.com. Your personal data will be processed for the purposes of managing Controller’s and its' subsidiaries' and affiliates' recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.A complete privacy policy can be found at https://evertz.com/contact/privacy/Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.Powered by JazzHRBfEjoI",onsite,NaN,"Markham, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-01-25,https://ca.linkedin.com/jobs/view/software-design-engineer-markham-at-evertz-3491065870?refId=ksVcxoWJubVXxdC1HoSniw%3D%3D&trackingId=XBogB7ru4fDg%2FxviYtzAWw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
