title,company,description,onsite_remote,salary,location,criteria,posted_date,link
AI Developer,Levio,"Menya is the artificial intelligence division of Levio Conseils. We help our partners use artificial intelligence integrated with other tools in their digital transformation. Our clients include prestigious organizations and companies such as Defence Canada, the Canadian Space Agency, MDA, Ciena, Desjardins, Morgan Stanley and many others. Among others, thanks to a contract from MDA and the Canadian Space Agency, Menya is developing the artificial intelligence for the next generation of the Canadian robotic arm (Canadarm3) that will be deployed on a station around the moon (Lunar Gateway). Our AI partners include Microsoft, AWS Amazon, and Google. Our service includes deploying and integrating their AI technologies to help our clients. We also develop our own technologies to be deployed at our customers' sites in a complete package ranging from consulting services, custom application development, integration of existing AI technologies and licensing of our technologies.We are looking for AI developers to join our teams in various projects.RoleAs an AI Developer, this person will:Design and develop AI models to meet project requirementsConvert AI/ML models into APIs that other developers can usePerform statistical analysis on big data setsManage project infrastructure and the development of AI models and projectsWork with other machine learning engineers, data engineers, and AI engineers to develop machine learning modelsRequirementsPhD or MSc in artificial intelligence4+ years experience developing AI modelsFamiliarity with deep learning and machine learning algorithms and the use of popular AI/ML frameworks (Tensorflow/Keras, PyTorch, scikit-learn)Advanced knowledge of statistical and algorithmic models as well as of fundamental mathematical concepts, such as linear algebra and probabilityExperience working with large data sets and writing efficient code capable of processing large data streams at speedMastery of PythonExcellent communication skillsAny of the following is advantageous (if no prior experience, must be willing to quickly learn and adapt):Mastery of image analysis algorithms and frameworksExperience with AI-Based visual inspectionMastery of AI-based video-analysis deep learning architecturesExperience with deep learning architectures for sequence data (transformers, RNN, etc.)Experience with graph neural networksAI CertificationsGitHub, JIRA, Azure DevOps, TFSCloud deployment (Docker, Cloud Foundry, Kubernetes, or Factor App)",onsite,NaN,"Québec, Quebec, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-12,https://ca.linkedin.com/jobs/view/ai-developer-at-levio-3515934794?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=6GApux0FU6ZwhcjZQHE1kQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559049840?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=k7Oc3pZd00TIzqhtqFJJzQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559055003?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=lfTMl65KlEV3xArm%2BDOPaA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,NTENT,"Position: Full timeLocation: Toronto, Ontario (Initially Remote)About UsNTENT provides a Platform-as-a-Service (PaaS), allowing industry partners to customize, localize and integrate search technologies directly into their business-to-consumer offerings. We are a unique group of brilliant minds intent on discovering, learning and building. We work in a vibrant atmosphere, with an emphasis on personal and professional development. This is an opportunity to tackle complex problems usually reserved for a handful of large companies in the search industry.About The OpportunityWe are looking for a talented Machine Learning Engineer to join our team and deliver machine learning-driven products. The right candidate will work on development, deployment, and lifecycle management of machine learning models for various large-scale applications (natural language understanding, web search and ranking, recommendation, personalization, dialog/conversation management).KeywordsMachine learning, natural language processing, learning-to-rank, online learning, deep learning, interactive machine learning, machine teaching, conversational agents, human computer interactionDuties And ResponsibilitiesDesign, implement, and deploy machine learning algorithms.Manage machine learning algorithm lifecycle.Coordinate data collection and annotation efforts.Work with real-time data and content coming from various data sources.Manage machine learning data pipelines. Design tests for machine learning algorithm effectiveness and performance monitoring.Design tools and interfaces for interactive machine learning and teaching.Research and development on cutting-edge machine learning technologies.Qualifications And SkillsGraduate degree in Computer Science with a strong background in machine learning required.Strong problem-solving abilities, solid background in algorithms and data structures required.Strong programming skills in Python and Scala required. Experience in other programming languages (eg. Java, R, Haskell) a plus.Solid knowledge of machine learning tools (eg. scikit-learn, tensorflow, keras, pytorch, Spark MLlib) required.Experience with distributed and streaming data technologies (eg. Hadoop, Spark, Kafka) required.Experience with building and deploying API's with Docker and Kubernetes required.Experience with natural processing tasks (eg. named entity recognition, language modeling, vector representations) required.Experience with Elastic Search, Lucene a plus but not required.Experience with ranking algorithms a plus but not required.Experience with interactive machine learning (eg. active learning, reinforcement learning, machine teaching) a plus but not required.The ideal candidate will be self-motivated, possess excellent communication skills (both oral and written) and be able to work independently. A keen interest in various aspects of natural language processing is essential in our multi-disciplinary team.We offer a full comprehensive benefits package including medical, dental and vision. Employees receive a generous time off (PTO) plan and 13 holidays per year. We also offer 401(k) benefits, long term disability benefits and life.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-03,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-ntent-3500412274?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=C7l1SPCg2B8EAxPDEWfQrA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,MobSquad,"About MobsquadWe are a well-funded, hyper-growth, scale-up looking for an experienced Machine Learning Engineer. If you've ever dreamed of working with a top tier technology company scale-up, on leading edge technologies, backed by the very best venture capitalists in the world, then this is your chance.Some details about MobSquad:MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling its clients to quickly have a turnkey ""virtual"" Canadian subsidiary. MobSquad ensures technology professionals with US work visa challenges remain working with their current company, but nearshore from Canada. This is accomplished via MobSquad's unique partnership with the Canadian Government, enabling work visas to be issued for technology professionals and their respective families within four to six weeks, and Canadian permanent residency within six to eight months. Additionally, MobSquad has unfettered access to top-tier global technology talent which it relocates to Canada and pairs with American as well as Canadian clients on an exclusive, long-term basis, helping firms not only retain their existing world-class technology talent base, but grow it substantially. We're a Certified B corporation, and have made numerous contributions to charitable organizations, as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition. For our workplace culture, we were recognized as the 3rd best place to work in Canada (for a small company) in 2020, as well as recognized specifically for being one of the best workplaces nationally for: inclusion; mental wellness; giving back; youth; and technology. We were also recognized as one of the best start-ups to work for across Canada. For our innovative business model, we have been featured in numerous media outlets including: Asian Pacific Post; BetaKit; Bloomberg; CBC; Global News; Gothamist; International Business Times; MIT Technology Review; Nearshore Americas; Nikkei Asian Review; NPR; The Economic Times of India; The Financial Times; The Globe and Mail; The Information; The New York Times; and The Washington Post. Harvard Business School published a case study on MobSquad last fall, and Harvard Business Review featured us multiple times in an article that appeared on the cover of their November/December 2020 edition. You can learn more about us on our website. About The RoleAs a Machine Learning Engineer, you will be part of a Canada-based team working remotely with a leading US scale-up. Your team will operate alongside many other talented developers and data scientists in Canada, and you will be an integral part of the tech community that MobSquad has built.This role requires someone who has demonstrated an ability to use data to train models which can be used to automate processes such as image classification, speech recognition, and forecasting. The ideal candidate has deployed or attempted to execute Artificial Intelligence theories from various Machine Learning (ML) models and algorithms, and they also have familiarity with data science engineering. The candidate should be able to apply their analytical skills to develop large-scale ML models that reveal the value in data. They are able to understand business objectives from a broader team and build customized models and processes to enable delivery of the business objectives.About YouYou have an advanced degree (M.S. or PhD) in Computer Science, Engineering, Mathematics, Physics, or a comparable analytical field from an accredited institutionYou have over five years of experience working with deep learning frameworks (TensorFlow, Keras)You have over five years of experience with relevant languages (Python, Java) and libraries (scikit-learn, Pandas)You have over five years of experience developing unique algorithmsYou have strong experience creating and deploying machine learning modelsYou have demonstrated knowledge of relevant libraries and operating systems (OpenCV, Linux)You have knowledge of SQL (MySQL, PostgreSQL) and NoSQL (MongoDB, Cassandra, HBase) databases You have strong attention to detail, translating to strength in data quality verification to enable clean data at all timesYou have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to build models and algorithms that reveal the patterns and relationships in data that can be leveraged to provide business valueWHAT YOU'LL GET @MOBSQUADA full-time position that offers competitive compensationA benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings)A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transitFor international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four yearsAt MobSquad, we support and encourage building a work environment that is diverse, inclusive, and safe for all. We invite and welcome applicants of all backgrounds, regardless of race, religion, sexual orientation, gender identity, national origin, or disability.",onsite,NaN,"Vancouver, British Columbia, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-22,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-mobsquad-3534854448?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=FuaZt0c%2F%2FI7N41V0NOTYAw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Researcher - Applied ML/NLP,"Huawei Technologies Canada Co., Ltd.","Our team has an immediate 12-month contract opening for a Researcher.Responsibilities:Participate in applied and fundamental research projects in HuaweiDelivering projects and presenting resultsBeing an independent thinker and autonomous team player with good oral and written communication skillsAdvance the state of the art in NLP and ML, and publish in top conference in NLP and ML",onsite,NaN,"Montreal, Quebec, Canada","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-01-04,https://ca.linkedin.com/jobs/view/researcher-applied-ml-nlp-at-huawei-technologies-canada-co-ltd-3426066107?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=4eevulVuL4cgLYvNpoLs9w%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Zany Consulting Group,"Job Posting Start Date: 05/01/2023Job Posting End Date: 10/31/2023Description: Key Accountabilities: Partner with internal stakeholders from multiple departments to identify opportunity for applying data science to solve complex business challenges such as maximize yield, process robustness, predictable supply, proactive identification of potential issues.Extract, transform and analyze data from multiple data sources ensuring data quality and integrity is maintained from source to the final output.Develop and implement algorithms using advanced statistical and mathematical methods.Support the implementation of Process Analytical Technologies to enable data capture for use in quantitative analysis and improved level of process understanding.Provide clear and concise oral and written communication.Promote a strong quality mindset with a strong focus on data integrity, validation and data governance. Education :MS or PhD in Chemical Process or Industrial Engineering. Experience :Experience in data science, process modeling and optimization or a similar technical field.Minimum 1- 3 Years Of Relevant Industrial Experience.Strong experience in delivering insights through statistical data analysis, data modeling and data visualization.Experience In Using Python (advanced Skills), JMP And SIMCA.Experience with developing business requirements, use cases and user stories in a data analytics context.Experience with implementing ETL processes for aggregating and contextualizing data.Exposure to best practices in data management and data governance practices.Ability to deliver projects with complex requirements and a strong customer focus.Ability to influence and communicate with a diverse group of stakeholders from multiple levels of management.Ability to succeed in a team-oriented environment under very dynamic conditions.Experience with Industrial Internet of Things.Experience with Big Data ecosystem.Powered by JazzHR5xs20B6Qpr",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-04-04,https://ca.linkedin.com/jobs/view/data-scientist-at-zany-consulting-group-3557048402?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=yRwWNePbE3zQKGrPoFNAeg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist – NLP (Hybrid),Morgan Stanley,"We OfferTo work with some of the best professionals in the business - for a firm that values individual intellect as much as teamworkState-of-the-art offices that are designed to maximize collaborationFlexible working arrangements Enriching challenges that provide opportunity for constant learning and advancementAn environment which is leveraging technology to its highest potentialTeam ProfileThe Legal and Compliance Division assists Morgan Stanley in achieving its business objectives in a manner consistent with the Firm’s core values and Global Risk Management Principles, by facilitating and overseeing the Firm’s management of legal, regulatory and franchise risk.Data & Analytics is a function in the Legal and Compliance Division responsible for designing and optimizing surveillance models, approaches and tools using advanced analytical techniques like supervised and unsupervised machine learning, Natural Language Processing (NLP) and evolving techniques like reinforcement and deep learning as well as graph analytics. The surveillances and other tools help identify suspicious and/or illegal behaviors like money laundering, market manipulation, insider trading, unfair sales or trading practices and other financial crimes.Position DescriptionDevelopment of language models leveraging machine learning and natural language processing techniques to improve surveillance and compliance monitoring activitiesDevelopment, iterative refinement, and monitoring of conversational agentsWorking with Technology, Legal and Compliance departments to assess the requirements, iteratively develop solutions and support their deploymentMaking recommendations to improve surveillance and compliance monitoring and testing activities through statistical analysis of model thresholds, back testing and other sensitivity and productivity analysesDeveloping and enhancing statistical methodologies and quantitative models to drive efficiencyRequired SkillsBachelor’s Degree in Computer Science, Machine Learning, Statistics, Mathematics, Engineering, or other highly quantitative field3+ years of hands-on industry experience in building NLP / machine learning based solutions and applied statistical analysis to solve complex business problemsKnowledge of Python is a mustExperience with classical machine learning techniques like classification, regression, regularization and cross-validation using packages like sklearnFamiliarity with NLP/NLU techniques for text representation and modeling (ngrams, NER, Question Answering, etc.)Ability to work in a team environment, balance participation on multiple projects and resolve conflicting prioritiesStrong problem solving and project management skills Desired SkillsFamiliarity with Financial Markets, with an emphasis on Financial Crimes, Compliance or Fraud analytics is a plusFamiliarity with Transformer models / BERT and modern word embeddingsChatbot design experience, with RASA or other chatbot platform (Intents classification, conversational flow design, analytics monitoring)Experience with multi-lingual NLP systemsKnowledge of software design principles and excellent skills in a formal programming languages including Java, ScalaAbout UsMorgan Stanley is a global financial services firm and a market leader in investment banking, securities, investment management and wealth management services. At Morgan Stanley Montreal, we are shaping the future of our global business and contributing to our local community. Our team works across numerous areas.Morgan Stanley is an equal opportunities employer. We work to provide a supportive and inclusive environment where all individuals can maximize their full potential. Our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds, talents, perspectives, and experiences. Our strong commitment to a culture of inclusion is evident through our constant focus on recruiting, developing, and advancing individuals based on their skills and talents.All our positions are located in Montreal, Quebec. We offer a hybrid work environment, combining remote work and attendance in the office.Knowledge of French and English is required.Spotlight on our Montreal Technology Centre: https://www.youtube.com/watch?v=oo5GaXpCwKsVideo dated October 2019.Build a career with impact. Visit morganstanley.com for more information.Posting DateFeb 9, 2023Primary LocationAmericas-Canada-Quebec-MontrealEducation LevelBachelor's DegreeJobOtherEmployment TypeFull TimeJob LevelSenior Manager",onsite,NaN,"Montreal, Quebec, Canada","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Financial Services, Investment Banking, and Investment Management'}]",2023-02-24,https://ca.linkedin.com/jobs/view/data-scientist-%E2%80%93-nlp-hybrid-at-morgan-stanley-3476400914?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=ztNp6teJ6lmqREwPpKf8GQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Researcher - Applied ML/NLP,"Huawei Technologies Canada Co., Ltd.","Our team has an immediate 12-month contract opening for a Researcher.Responsibilities:Participate in applied and fundamental research projects in HuaweiDelivering projects and presenting resultsBeing an independent thinker and autonomous team player with good oral and written communication skillsAdvance the state of the art in NLP and ML, and publish in top conference in NLP and ML",onsite,NaN,"Markham, Ontario, Canada","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-01-04,https://ca.linkedin.com/jobs/view/researcher-applied-ml-nlp-at-huawei-technologies-canada-co-ltd-3426061783?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=UC46Qk43PpzwpKnE4JKzeA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Research Engineer,MarketMuse,"OverviewMarketmuse Inc.'s M4 Lab is seeking a Research Engineer to help create the next generations of content analytics and content generation technologies. This role blends production software development and research in deep learning, information theory, machine learning, knowledge representation, and computational linguistics. The engineer will work on natural language processing systems that try to understand the semantics, intent, and topical structure of vast amounts of web content. This role requires extensive knowledge and experience in architecting and developing data intensive applications.About UsMarketmuse Inc. is a rapidly growing institutionally-backed content planning technology firm with offices in Montreal, Boston, and New York City. We are the premier provider of enterprise content planning technologies and are recognized as a leading technology for content marketing functions. MarketMuse's new M4 Lab (the MarketMuse Montreal Machine Monograph Lab) will be a hub for our advanced machine learning and data sciences teams working on cutting-edge R&D to improve our systems' quality of content understanding, knowledge representation, and machine learning powered content generation assistance tools. Our software also helps our clients optimize or create content ranging from short blog posts to long whitepapers.ResponsibilitiesDesign and implement reliable distributed data pipelinesDesign and implement scalable machine learning solutions geared towards solving natural language processing, knowledge representation, and natural language generation problemsCreate parallelized and/or distributed versions of existing algorithmsResearch, design and develop novel algorithmsCollaborate with research scientists, architects, software developers, and product management to design and program innovative strategic and tactical solutions that meet market needs with respect to functionality, performance, reliability, realistic implementation schedules, and adherence to development goals and principlesGather and determine requirements for new features from internal colleaguesRequired SkillsExperience with architecting data intensive applicationsExperience with data mining or machine learning applicationsExperience writing software in one or more languages such as Python, Scala and/or similar. Experience working with data structures, algorithms and software designKnowledge of data warehousing concepts, including data warehouse technical architectures, infrastructure components, tools and environments (such as Apache Beam, Hadoop, Spark, Pig, Hive, MapReduce, Flume)Experience with fast prototypingExperience working effectively with software engineering teamsMentor others in achieving their career growth potentialRequired Education And Experience LevelMS in Computer Science, Computer Engineering, Deep Learning, Machine Learning, Statistics, Computational Linguistics, or a very related field; other exceptional candidates with extensive ML/DL/NLP/NLG backgrounds may also be consideredAt least 2 years of research engineering experience with respect to ML/DL/NLP/NLGAt least 1 year of distributed or highly threaded software development experiencePreferred But Optional SkillsExperience with workflow tools like Airflow, Luigi, etc. Hands-on experience implementing new research ideas with a neural network training framework such as Tensorflow, Keras, or PyTorchA PhD in machine learningExperience with academic machine learning research",onsite,NaN,"Montreal, Quebec, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-08,https://ca.linkedin.com/jobs/view/machine-learning-research-engineer-at-marketmuse-3506627485?refId=fIrzdihCN9fgJhWf85R7XA%3D%3D&trackingId=uk1EbsnOxC6GFhwvFo2Row%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
