title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Data Scientist,Zany Consulting Group,"Job Posting Start Date: 05/01/2023Job Posting End Date: 10/31/2023Description: Key Accountabilities: Partner with internal stakeholders from multiple departments to identify opportunity for applying data science to solve complex business challenges such as maximize yield, process robustness, predictable supply, proactive identification of potential issues.Extract, transform and analyze data from multiple data sources ensuring data quality and integrity is maintained from source to the final output.Develop and implement algorithms using advanced statistical and mathematical methods.Support the implementation of Process Analytical Technologies to enable data capture for use in quantitative analysis and improved level of process understanding.Provide clear and concise oral and written communication.Promote a strong quality mindset with a strong focus on data integrity, validation and data governance. Education :MS or PhD in Chemical Process or Industrial Engineering. Experience :Experience in data science, process modeling and optimization or a similar technical field.Minimum 1- 3 Years Of Relevant Industrial Experience.Strong experience in delivering insights through statistical data analysis, data modeling and data visualization.Experience In Using Python (advanced Skills), JMP And SIMCA.Experience with developing business requirements, use cases and user stories in a data analytics context.Experience with implementing ETL processes for aggregating and contextualizing data.Exposure to best practices in data management and data governance practices.Ability to deliver projects with complex requirements and a strong customer focus.Ability to influence and communicate with a diverse group of stakeholders from multiple levels of management.Ability to succeed in a team-oriented environment under very dynamic conditions.Experience with Industrial Internet of Things.Experience with Big Data ecosystem.Powered by JazzHR5xs20B6Qpr",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-04-04,https://ca.linkedin.com/jobs/view/data-scientist-at-zany-consulting-group-3557048402?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=hWmW8nsBjf1mBqQw%2F9Bt9Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559055003?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=CTnWUzm6bfSysX1IgLoLiQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer (Canada),Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.We are looking for a motivated and passionate Machine Learning Engineers for our team.As part of this job, you will be responsible for:Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutionsCreating Scalable Machine Learning systems that are highly performantBuilding reusable production data pipelines for implemented machine learning modelsWriting production-quality code and libraries that can be packaged as containers, installed and deployedRequirementsBachelor's degree or higher in computer science or related, with 5+ years of work experienceAbility to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experimentsAbility to manage the infrastructure and data pipelines needed to bring ML solution to productionEnd-to-end understanding of applications being created and maintain scalable machine learning solutions in productionAbility to abstract complexity of production for machine learning using containersAbility to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvementsExperience with Big Data Projects using multiple types of structured and unstructured dataAbility to work with a global team, playing a key role in communicating problem context to the remote teamsExcellent communication and teamwork skillsAdditional Skills Required:Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental designTest-driven development (prefer py. test/nose), experience with Cloud environmentsProficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired.Good to have:Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.Knowledge of MLflow, Airflow, KubernetesKnowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platformBenefitsSignificant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-12,https://ca.linkedin.com/jobs/view/machine-learning-engineer-canada-at-tiger-analytics-3559049840?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=eD7i5KfiKxeb4x5l8Ryqnw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Boosted.ai,"Boosted.ai is a fintech company headquartered in Toronto, Canada with offices in New York City. We provide AI tools to asset managers to augment their equity capital markets research. Boosted.ai empowers finance professionals to use AI and machine learning to sort through massive amounts of data to find investment opportunities. We are a well funded, post Series-B company - our lead investors are innovators and disruptors in financial and technology markets, including Spark Capital (Twitter, Slack, Affirm), Ten Coves Capital (Plaid, Sentieo, TouchBistro), Portage Ventures (Wealthsimple, Borrowell, Nesto), and RBC (Royal Bank of Canada).Position DescriptionWe are looking for a Data Scientist to help support the rapid growth of our business. You will generate actionable insights and perform data analysis that will guide our decision making, inform our product direction and help our teams meet and exceed customer expectations. As well, this role will support ongoing reporting, handle ad-hoc reporting requests, as well as in-depth research.A successful candidate should have an analytical mindset and be familiar with product KPIs, metrics and tools for their visualization. We also expect you to be able to work independently to set up any product analytics and data science tools as needed, therefore previous experience in spinning up those resources is required. Knowledge of FinTech / Finance applications is an asset.ResponsibilitiesUnderstand the business drivers, analytical use cases and translate those into actionable outputs. Setting up, monitoring and deriving insights from Product KPIs / OKRs and Metrics (LTV, Churn, Engagement etc) and design, build, automate and maintain dashboards for their reporting. Leverage, setup and deploy tools and techniques for data analysis, including statistical and quantitative methodExercise of critical thinking, analyzing and assessing problems and implications, identifying patterns, making connections of underlying issues, understanding risks and developing mitigation strategies, and taking ownership of the outcomeLead customer-facing report deliveries, both existing and ad-hoc requests along with management reporting information, which is produced on a periodic basisAnalyze and evaluate Boosted.ai's processes and identify potential improvement opportunitiesRequirementsMinimum of 2 years experience in data science, product analytics or similar role. BA/BS in relevant field of studyWorking knowledge and ability to measure and evaluate specific Product KPIs / OKRs and Metrics (LTV, Churn, Engagement etc.)Experience and Coding knowledge with PythonExperience with using and setting up data visualization tools such as Mixpanel, Google Data Studio, Tableau or similarExtremely detail-oriented with great time management skills and experience working in a fast-paced, data-driven environmentExcellent written and oral communication skills, including an ability to communicate across business areasExperience with enterprise SaaS for financial services is a strong assetDiverse PerspectivesWe know that innovation thrives on product teams where diverse points of view come together to solve hard problems in ways that are just now possible. As such, we explicitly seek people that bring diverse life experiences, diverse educational backgrounds, diverse cultures, and diverse work experiences. Please be prepared to share with us how your perspective will bring something unique and valuable to our product teams.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-23,https://ca.linkedin.com/jobs/view/data-scientist-at-boosted-ai-3569585930?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=2wHVpdKsMlBRLNOuOspCgA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,MobSquad,"About MobsquadWe are a well-funded, hyper-growth, scale-up looking for an experienced Machine Learning Engineer. If you've ever dreamed of working with a top tier technology company scale-up, on leading edge technologies, backed by the very best venture capitalists in the world, then this is your chance.Some details about MobSquad:MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling its clients to quickly have a turnkey ""virtual"" Canadian subsidiary. MobSquad ensures technology professionals with US work visa challenges remain working with their current company, but nearshore from Canada. This is accomplished via MobSquad's unique partnership with the Canadian Government, enabling work visas to be issued for technology professionals and their respective families within four to six weeks, and Canadian permanent residency within six to eight months. Additionally, MobSquad has unfettered access to top-tier global technology talent which it relocates to Canada and pairs with American as well as Canadian clients on an exclusive, long-term basis, helping firms not only retain their existing world-class technology talent base, but grow it substantially. We're a Certified B corporation, and have made numerous contributions to charitable organizations, as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition. For our workplace culture, we were recognized as the 3rd best place to work in Canada (for a small company) in 2020, as well as recognized specifically for being one of the best workplaces nationally for: inclusion; mental wellness; giving back; youth; and technology. We were also recognized as one of the best start-ups to work for across Canada. For our innovative business model, we have been featured in numerous media outlets including: Asian Pacific Post; BetaKit; Bloomberg; CBC; Global News; Gothamist; International Business Times; MIT Technology Review; Nearshore Americas; Nikkei Asian Review; NPR; The Economic Times of India; The Financial Times; The Globe and Mail; The Information; The New York Times; and The Washington Post. Harvard Business School published a case study on MobSquad last fall, and Harvard Business Review featured us multiple times in an article that appeared on the cover of their November/December 2020 edition. You can learn more about us on our website. About The RoleAs a Machine Learning Engineer, you will be part of a Canada-based team working remotely with a leading US scale-up. Your team will operate alongside many other talented developers and data scientists in Canada, and you will be an integral part of the tech community that MobSquad has built.This role requires someone who has demonstrated an ability to use data to train models which can be used to automate processes such as image classification, speech recognition, and forecasting. The ideal candidate has deployed or attempted to execute Artificial Intelligence theories from various Machine Learning (ML) models and algorithms, and they also have familiarity with data science engineering. The candidate should be able to apply their analytical skills to develop large-scale ML models that reveal the value in data. They are able to understand business objectives from a broader team and build customized models and processes to enable delivery of the business objectives.About YouYou have an advanced degree (M.S. or PhD) in Computer Science, Engineering, Mathematics, Physics, or a comparable analytical field from an accredited institutionYou have over five years of experience working with deep learning frameworks (TensorFlow, Keras)You have over five years of experience with relevant languages (Python, Java) and libraries (scikit-learn, Pandas)You have over five years of experience developing unique algorithmsYou have strong experience creating and deploying machine learning modelsYou have demonstrated knowledge of relevant libraries and operating systems (OpenCV, Linux)You have knowledge of SQL (MySQL, PostgreSQL) and NoSQL (MongoDB, Cassandra, HBase) databases You have strong attention to detail, translating to strength in data quality verification to enable clean data at all timesYou have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to build models and algorithms that reveal the patterns and relationships in data that can be leveraged to provide business valueWHAT YOU'LL GET @MOBSQUADA full-time position that offers competitive compensationA benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings)A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transitFor international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four yearsAt MobSquad, we support and encourage building a work environment that is diverse, inclusive, and safe for all. We invite and welcome applicants of all backgrounds, regardless of race, religion, sexual orientation, gender identity, national origin, or disability.",onsite,NaN,"Vancouver, British Columbia, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-22,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-mobsquad-3534854448?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=bOK6m3d10FVYY0eFfA4MWA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Industrial Affairs (IA) Data Scientist,Experfy,"Opportunity DescriptionThe Industrial Affairs data scientist has a key role in defining, executing data science solutions like, predictive models (supervised, unsupervised), data pipelines or graph-based approaches. Developed models will be integrated in existing could-based applications and deployed on a global scale. Moreover, the IA Data Scientist will drive the development of novel data products within our data platform as well as executing/evaluating the proof of concept (cf. micro apps) together with clients.ROLE REQUIRES STRONG INTERFACES WITH:Client's IA Data transformation leaderDigital Product OwnersITS organizationFit4Future change leadersOther data scientists across the digital DS organizationEssential experience:Master’s degree in mathematics, computer science, engineering, physics, statistics, economics, computational sciences or a related quantitative discipline and 5+ years of Data Science experience, or PhD + 3years of with relevant work & domain experience.Direct experience with any of the following techniques: advanced NLP modeling, machine learning, semi-supervised, deep learning, graph neural networks, Bayesian networks and numerical optimizationExperience deploying (micro) apps cf. Shiny or FlaskVisual analytics and/or data story telling with Power BI or otherExperience with some aspects of pharmaceutical operations, specially manufacturingExpertise with the core data science languages (such as Python, R), and familiarity & flexibility with data systems (e.g. SQL, NoSQL, knowledge graphs)Comfortable working in cloud and high-performance computational environments (e.g. AWS, Apache Spark)Excellent written and verbal communication, business analysis, and consultancy skillsExperience working in an agile environmentDesirable experience:Disciplined AI / ML development (CI / CD, Orchestration)Experience with Tableau or Power BIRegulatory, GxP, or similar standardsOrchestration, AWS stepfunctions, Apache Airflow or KedroRequirementsData Scientist Responsibilities:Build models, algorithms, and performance evaluation by writing highly optimized, deployable code and using state-of-the art machine learning technologiesDefine and implement architectures for predictive algorithm for cloud-based manufacturing applicationIndustrializing solutions together with small teams (pods, scrum) in an agile way of workingProficient at collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the dataWork with a data lake as well as graph databases (cf. neo4js and AWS Neptune)Use data analysis, visualization, storytelling, and data technologies to scope, define and deliver AI-based data products to accelerate and data product deploymentsDeveloping digital data products and pipelines for IA that scaleHe/she will be able to generate work product that includes interactive visualizations, presentations, publications, web applications, predictive algorithms, and APIDocument insides and architecture as well as planning using Jira/Confluence",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-02,https://ca.linkedin.com/jobs/view/industrial-affairs-ia-data-scientist-at-experfy-3545263282?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=1FfJr4pxb%2BL6QJUhbr4d4g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
AI Scientist,Nuvoola AI,"Company InformationName of Hiring Company: Nuvoola AINuvoola AI is an artificial intelligence firm based in Quebec, Ontario, and New Brunswick. We are market leader in Artificial Intelligence (AI) computer vision, implementing virtual guard solutions, with facial, license plate and character recognition, leveraging natural language interaction for various market and industries. We thrive at optimizing business processes and solving complex operational problems. We are a recognized and talented team partnering with the best in the industry and take serious proud of helping our customer reduce their operating cost, be more competitive while improving their overall efficiency.We offer a stimulating, high technology work environment and state-of-the-art projects, coupled with professional development and continuing education with access to international conferences and sophisticated work equipment.Nuvoola subscribes to the principle of equal access to employment and promotes the diversity of the workforce.Please apply via https://www.nuvoola.com/company#careersJob Title: AI ScientistSector☐ Management☐ Finances and Administration☒ Natural and Applied Science + Related Fields☐ Health☐ Sales & Services☐ Supply chain, Transportation, and Related Fields☐ Natural Resources, Agriculture☐ Public Utilities – Fabrication & ServicesNumber of Opening: 1Designated Work AreaMontreal or Chambly (QC), Ottawa (ON), Caraquet (NB), RemoteJob DescriptionAre you passionate about building bleeding edge solutions?Join the Nuvoola AI team as an AI Scientist and contribute to solving interesting business challenges. This is a unique opportunity to make a big impact!You will develop innovative solutions in-house and with clients in a variety of industries, such as Utility, Entertainment, Financial Services, Public Sector, Retail, and Transportation. We believe in small multi-disciplinary teams of developers, architects, designers, and industry experts that collaborate in short sprints and agile cycles. This role will involve significant client interaction and outputs may be used for board level demonstrations.Essential Skills & QualificationsPhD/Master’s degree in computer science, engineering, or mathematics fieldsPrior experience in artificial intelligence, machine learningMinimum 3 years of machine learning experience in Python with interest in Deep LearningA track record of outstanding AI (Deep Learning focus) software development with Github (or similar) evidenceDemonstrated abilities in designing AI systemsDemonstrated interest in applied Deep Learning, including early stage of data preparation, augmentation, generation, systematic Deep Learning model tuning, replicable Machine Learning experiments modeling, Deep Learning pipeline for ML model selection and validationExpert-level knowledge and experience working with at least one data science programming language (e.g. Python, R, Scala) to explore, understand, and build analytic models from data assets of varying size, type, and qualityExpertise in Embedded Machine Learning (e.g. Deep Learning quantization) is a strong plusGood foundation in mathematics, statistics, and probabilityStrong knowledge of Machine Learning foundations with one or more of the following:Computer Vision applicationsNatural human interactionPredictive analyticsKnowledge of mainstream Deep Learning architectures (MLP, CNN, UNET, etc) and Deep Generative Learning architectures (GAN, VAE) for computer vision tasksStrong Python programming skillsWorking knowledge of Linux OSEagerness to contribute in a goal-oriented environmentAbility to work creatively and analytically in a problem-solving environmentProven verbal and written communication skills in English (talks, presentations, publications, etc.)Key Personal CompetenciesGreat communicatorTeam playerCritical thinkerAvid learnerFocus drivenTransformational agentDiplomas☐ High School☐ Professional Training☐ Bachelor’s degree☒ Master☒ PhD☒ Required / ☐ PrivilegedLevel in French☐ Bilingual☒ Fluent☐ Good☐ Average☐ School level☐ Required / ☒ PrivilegedLevel in English☒ Bilingual☐ Fluent☐ Good☐ Average☐ School level☒ Required/ ☐ PrivilegedNumber of Years of Experience: 3 years☐ Requited / ☒ PrivilegedDuration of Contract☐ Fixed Duration (temporary)☒ Undetermined Duration (permanent)Starting Date : As soon as possibleRemuneration (Mandatory)☒ Annual☐ Monthly☐ Weekly☐ HourlyAmount ($ CAN):From____$______ To _____$______The Information On The Salary Is☒ Confidential☐ PublicAdditional InformationWhy work at Nuvoola AI:Stimulating work environment and state-of-the-art projects,Professional development and continuing education with access to international conferences,Benefits after 3 months in position providing excellent coverage,Open work environment and sophisticated work equipment.Nuvoola subscribes to the principle of equal access to employment and promotes the diversity of the workforce.",onsite,NaN,"Québec, Quebec, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2021-11-04,https://ca.linkedin.com/jobs/view/ai-scientist-at-nuvoola-ai-2817977273?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=MvEBNsVsmO9TQwuknRfqew%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Sr Data Scientist,owl.co,"Owl.co is a software company that enables insurers to fight illegitimate claims at scale while removing human bias from the process. Our clients are the top insurance companies across North America, and they are achieving incredible results through our AI-powered, evidence-based platform. We are on a mission to bring state-of-the-art ML and NLP methods to transform this traditionally manual activity into an equitable process. We are well-funded and have engineering offices in New York City, Toronto, and VancouverAbout the Role:We are looking for an ambitious and motivated Senior Data Scientist to build creative, analytical solutions using analysis, experiments, and modeling work to impact our products, processes, and, ultimately, our clients' businesses. At Owl, you will be developing, implementing, and scaling our data processing and analytics practice using data-to-service insights. The outcome here is working to improve the business, data collection practices, and the general analytics framework underpinning some of the most impactful systems in the insurance industry.What You’ll Be Doing:Collaborate directly with internal stakeholders to conduct impactful data analysis to meet customer needs and grow OwlAnalyze user behavior from the Owl product to suggest new features aimed at improving our product offering and servicesBuild dashboards and reporting processes to generate key insights for internal stakeholders on the state of the companyDevelop datasets for ongoing use in analysis and dashboardsContribute to the development and direction of Owl’s analytics practiceHelping design and analyze A/B tests and general experiments to improve processes, data collection, and ML modelsCollaborating with ML/NLP engineers to develop/experiment with new and existing modelsIdeal experience:3+ years of data science experience with a strong track record of applied project work in industryBachelor's Degree or higher in quantitative or technical disciplineExpertise in reporting, dashboard development, and data managementStrong skills with common data science tools and query languages– includes Python with a focus on pandas, numpy, seaborn, sklearn, etc. in addition to SQLStrong interpersonal and writing skills needed to collaborate with internal stakeholders on requirements to drive analytics progressionKnowledge of A/B testing and statistical analysisKnowledge of the theory/practice of working with applied MLFamiliarity with AWS data services (Glue, Athena, QuickSight, etc.) is a plusStrong acumen with analytical and data-driven problem-solvingBenefits:$1,200 ($100 monthly) per year into a Wellness or Healthcare Spending AccountRRSP matching up to 4% of base salary4 weeks of vacation, 10 public holidays, plus 5 personal daysHybrid work modelDog-friendly officeWeekly team lunches in the office",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-03-24,https://ca.linkedin.com/jobs/view/sr-data-scientist-at-owl-co-3542339051?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=Ae0SZ2cDWKegX3xzbMHkag%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Machine Learning Engineer,NTENT,"Position: Full timeLocation: Toronto, Ontario (Initially Remote)About UsNTENT provides a Platform-as-a-Service (PaaS), allowing industry partners to customize, localize and integrate search technologies directly into their business-to-consumer offerings. We are a unique group of brilliant minds intent on discovering, learning and building. We work in a vibrant atmosphere, with an emphasis on personal and professional development. This is an opportunity to tackle complex problems usually reserved for a handful of large companies in the search industry.About The OpportunityWe are looking for a talented Machine Learning Engineer to join our team and deliver machine learning-driven products. The right candidate will work on development, deployment, and lifecycle management of machine learning models for various large-scale applications (natural language understanding, web search and ranking, recommendation, personalization, dialog/conversation management).KeywordsMachine learning, natural language processing, learning-to-rank, online learning, deep learning, interactive machine learning, machine teaching, conversational agents, human computer interactionDuties And ResponsibilitiesDesign, implement, and deploy machine learning algorithms.Manage machine learning algorithm lifecycle.Coordinate data collection and annotation efforts.Work with real-time data and content coming from various data sources.Manage machine learning data pipelines. Design tests for machine learning algorithm effectiveness and performance monitoring.Design tools and interfaces for interactive machine learning and teaching.Research and development on cutting-edge machine learning technologies.Qualifications And SkillsGraduate degree in Computer Science with a strong background in machine learning required.Strong problem-solving abilities, solid background in algorithms and data structures required.Strong programming skills in Python and Scala required. Experience in other programming languages (eg. Java, R, Haskell) a plus.Solid knowledge of machine learning tools (eg. scikit-learn, tensorflow, keras, pytorch, Spark MLlib) required.Experience with distributed and streaming data technologies (eg. Hadoop, Spark, Kafka) required.Experience with building and deploying API's with Docker and Kubernetes required.Experience with natural processing tasks (eg. named entity recognition, language modeling, vector representations) required.Experience with Elastic Search, Lucene a plus but not required.Experience with ranking algorithms a plus but not required.Experience with interactive machine learning (eg. active learning, reinforcement learning, machine teaching) a plus but not required.The ideal candidate will be self-motivated, possess excellent communication skills (both oral and written) and be able to work independently. A keen interest in various aspects of natural language processing is essential in our multi-disciplinary team.We offer a full comprehensive benefits package including medical, dental and vision. Employees receive a generous time off (PTO) plan and 13 holidays per year. We also offer 401(k) benefits, long term disability benefits and life.",onsite,NaN,"Toronto, Ontario, Canada","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-02-03,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-ntent-3500412274?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=qmuliqQltcOj7IbqIIzkpA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Focal Systems,Nan,onsite,NaN,"Toronto, Ontario, Canada",[],2023-02-17,https://ca.linkedin.com/jobs/view/data-scientist-at-focal-systems-3521989313?refId=ooiVDuOrau4emF7RToCCkA%3D%3D&trackingId=ClO2vTzfV%2Bw5q1PCo9cZpg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
